,trial_00,trial_01,trial_02,trial_03,trial_04,trial_05,trial_06,trial_07,trial_08,trial_09,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31
sub-041,inactive_pic-absent_2,inactive_pic-present_3,active_pic-absent_0,active_pic-present_1,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_2,active_pic-absent_3,active_pic-present_2,inactive_pic-absent_3,active_pic-present_0,inactive_pic-present_1,active_pic-absent_0,active_pic-present_1,inactive_pic-absent_2,inactive_pic-absent_3,active_pic-present_2,active_pic-present_3,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_0,active_pic-absent_1,active_pic-present_2,inactive_pic-present_3,active_pic-absent_2,inactive_pic-present_3,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_0,inactive_pic-absent_1,active_pic-absent_2,inactive_pic-absent_3
sub-042,inactive_pic-present_2,active_pic-absent_3,inactive_pic-absent_0,inactive_pic-present_1,active_pic-present_0,inactive_pic-absent_1,active_pic-present_2,active_pic-present_3,inactive_pic-absent_2,active_pic-present_3,inactive_pic-present_0,inactive_pic-absent_1,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_2,active_pic-absent_3,inactive_pic-present_2,active_pic-absent_3,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-absent_1,active_pic-present_2,inactive_pic-absent_3,active_pic-present_2,inactive_pic-present_3,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_0,active_pic-present_1,inactive_pic-present_2,active_pic-absent_3
sub-043,inactive_pic-present_2,active_pic-absent_3,inactive_pic-present_0,inactive_pic-absent_1,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_2,inactive_pic-present_3,active_pic-present_2,inactive_pic-absent_3,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_0,active_pic-present_1,active_pic-present_2,active_pic-absent_3,inactive_pic-absent_2,active_pic-present_3,inactive_pic-absent_0,active_pic-present_1,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_2,active_pic-absent_3,active_pic-absent_2,inactive_pic-present_3,active_pic-absent_0,inactive_pic-absent_1,active_pic-present_0,inactive_pic-absent_1,active_pic-present_2,inactive_pic-present_3
sub-044,active_pic-present_2,inactive_pic-absent_3,active_pic-present_0,active_pic-present_1,inactive_pic-absent_0,active_pic-present_1,active_pic-absent_2,inactive_pic-absent_3,inactive_pic-present_2,active_pic-absent_3,inactive_pic-present_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-present_1,inactive_pic-absent_2,active_pic-absent_3,inactive_pic-present_2,inactive_pic-absent_3,active_pic-absent_0,inactive_pic-present_1,active_pic-present_0,active_pic-absent_1,inactive_pic-present_2,active_pic-absent_3,active_pic-absent_2,inactive_pic-present_3,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_0,active_pic-present_1,active_pic-present_2,inactive_pic-absent_3
sub-045,active_pic-absent_2,inactive_pic-present_3,active_pic-absent_0,active_pic-absent_1,inactive_pic-present_0,inactive_pic-absent_1,active_pic-present_2,active_pic-present_3,inactive_pic-absent_2,active_pic-present_3,inactive_pic-absent_0,inactive_pic-absent_1,active_pic-present_0,active_pic-absent_1,inactive_pic-present_2,inactive_pic-present_3,inactive_pic-absent_2,active_pic-present_3,inactive_pic-present_0,inactive_pic-absent_1,active_pic-present_0,inactive_pic-absent_1,active_pic-present_2,inactive_pic-present_3,active_pic-absent_2,inactive_pic-present_3,active_pic-absent_0,active_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,inactive_pic-absent_2,active_pic-present_3
sub-046,inactive_pic-present_2,active_pic-absent_3,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_0,active_pic-present_1,active_pic-absent_2,inactive_pic-present_3,active_pic-present_2,inactive_pic-absent_3,active_pic-present_0,inactive_pic-absent_1,active_pic-absent_0,inactive_pic-present_1,inactive_pic-present_2,active_pic-absent_3,inactive_pic-present_2,inactive_pic-present_3,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,active_pic-present_1,inactive_pic-absent_2,active_pic-present_3,inactive_pic-absent_2,active_pic-absent_3,active_pic-present_0,inactive_pic-absent_1,active_pic-present_0,inactive_pic-absent_1,inactive_pic-present_2,active_pic-absent_3
sub-047,active_pic-absent_2,active_pic-present_3,inactive_pic-absent_0,inactive_pic-absent_1,active_pic-present_0,inactive_pic-absent_1,inactive_pic-present_2,active_pic-present_3,inactive_pic-absent_2,inactive_pic-present_3,active_pic-absent_0,active_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,active_pic-present_2,inactive_pic-present_3,active_pic-absent_2,inactive_pic-present_3,inactive_pic-absent_0,active_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_2,active_pic-present_3,inactive_pic-absent_2,active_pic-present_3,active_pic-present_0,inactive_pic-absent_1,active_pic-present_0,inactive_pic-absent_1,active_pic-absent_2,inactive_pic-present_3
sub-048,active_pic-absent_2,inactive_pic-present_3,active_pic-absent_0,active_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,inactive_pic-absent_2,active_pic-present_3,inactive_pic-absent_2,active_pic-present_3,inactive_pic-present_0,inactive_pic-absent_1,active_pic-present_0,inactive_pic-absent_1,active_pic-present_2,inactive_pic-present_3,inactive_pic-absent_2,active_pic-present_3,active_pic-absent_0,inactive_pic-present_1,active_pic-present_0,active_pic-absent_1,inactive_pic-absent_2,active_pic-present_3,active_pic-absent_2,inactive_pic-present_3,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_0,inactive_pic-absent_1,active_pic-present_2,inactive_pic-absent_3
sub-049,inactive_pic-present_2,inactive_pic-absent_3,active_pic-present_0,inactive_pic-absent_1,active_pic-present_0,active_pic-absent_1,inactive_pic-present_2,active_pic-absent_3,inactive_pic-absent_2,inactive_pic-present_3,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,active_pic-present_1,inactive_pic-absent_2,active_pic-present_3,inactive_pic-present_2,active_pic-absent_3,inactive_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_2,active_pic-present_3,inactive_pic-absent_2,active_pic-present_3,inactive_pic-present_0,inactive_pic-absent_1,active_pic-present_0,inactive_pic-absent_1,active_pic-present_2,active_pic-absent_3
sub-050,inactive_pic-absent_2,inactive_pic-present_3,active_pic-present_0,inactive_pic-absent_1,active_pic-absent_0,active_pic-present_1,inactive_pic-present_2,active_pic-absent_3,inactive_pic-present_2,inactive_pic-absent_3,active_pic-absent_0,inactive_pic-present_1,active_pic-present_0,active_pic-absent_1,inactive_pic-absent_2,active_pic-present_3,inactive_pic-absent_2,inactive_pic-absent_3,active_pic-present_0,inactive_pic-absent_1,active_pic-present_0,active_pic-present_1,inactive_pic-absent_2,active_pic-absent_3,inactive_pic-present_2,inactive_pic-present_3,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,active_pic-absent_1,inactive_pic-present_2,active_pic-present_3
sub-051,inactive_pic-absent_2,active_pic-present_3,active_pic-present_0,inactive_pic-absent_1,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_2,active_pic-present_3,inactive_pic-present_2,active_pic-absent_3,inactive_pic-present_0,active_pic-absent_1,active_pic-present_0,inactive_pic-absent_1,inactive_pic-absent_2,inactive_pic-present_3,active_pic-present_2,active_pic-absent_3,inactive_pic-present_0,inactive_pic-absent_1,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_2,active_pic-absent_3,inactive_pic-present_2,inactive_pic-absent_3,active_pic-present_0,inactive_pic-present_1,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_2,active_pic-present_3
sub-052,inactive_pic-absent_2,active_pic-present_3,active_pic-present_0,inactive_pic-absent_1,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_2,active_pic-absent_3,inactive_pic-present_2,active_pic-absent_3,inactive_pic-absent_0,active_pic-present_1,active_pic-present_0,inactive_pic-absent_1,inactive_pic-present_2,inactive_pic-present_3,active_pic-absent_2,active_pic-absent_3,inactive_pic-present_0,active_pic-absent_1,inactive_pic-absent_0,inactive_pic-present_1,active_pic-absent_2,inactive_pic-absent_3,inactive_pic-present_2,active_pic-present_3,inactive_pic-absent_0,inactive_pic-present_1,active_pic-present_0,inactive_pic-absent_1,active_pic-present_2,active_pic-present_3
sub-053,inactive_pic-absent_2,inactive_pic-absent_3,active_pic-present_0,inactive_pic-absent_1,inactive_pic-present_0,active_pic-present_1,active_pic-absent_2,inactive_pic-present_3,active_pic-present_2,active_pic-absent_3,inactive_pic-absent_0,active_pic-present_1,active_pic-absent_0,inactive_pic-present_1,inactive_pic-present_2,active_pic-absent_3,inactive_pic-absent_2,active_pic-present_3,inactive_pic-absent_0,active_pic-present_1,inactive_pic-present_0,active_pic-absent_1,active_pic-absent_2,inactive_pic-present_3,active_pic-absent_2,inactive_pic-present_3,active_pic-present_0,inactive_pic-absent_1,active_pic-present_0,inactive_pic-absent_1,inactive_pic-present_2,active_pic-absent_3
sub-054,active_pic-present_2,active_pic-absent_3,inactive_pic-present_0,active_pic-absent_1,inactive_pic-absent_0,inactive_pic-present_1,active_pic-present_2,inactive_pic-absent_3,active_pic-absent_2,active_pic-present_3,inactive_pic-absent_0,active_pic-present_1,inactive_pic-present_0,inactive_pic-absent_1,active_pic-absent_2,inactive_pic-present_3,active_pic-absent_2,inactive_pic-present_3,active_pic-absent_0,inactive_pic-present_1,inactive_pic-absent_0,active_pic-present_1,inactive_pic-present_2,inactive_pic-absent_3,active_pic-present_2,inactive_pic-absent_3,inactive_pic-absent_0,active_pic-present_1,inactive_pic-present_0,active_pic-absent_1,active_pic-present_2,active_pic-absent_3
sub-055,active_pic-present_2,inactive_pic-absent_3,active_pic-present_0,inactive_pic-absent_1,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_2,inactive_pic-present_3,active_pic-absent_2,inactive_pic-present_3,active_pic-absent_0,active_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_2,active_pic-present_3,active_pic-absent_2,inactive_pic-present_3,inactive_pic-absent_0,active_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,active_pic-present_2,inactive_pic-absent_3,active_pic-present_2,inactive_pic-absent_3,inactive_pic-present_0,active_pic-present_1,inactive_pic-absent_0,active_pic-present_1,active_pic-absent_2,inactive_pic-present_3
sub-056,inactive_pic-present_2,active_pic-absent_3,active_pic-present_0,inactive_pic-present_1,active_pic-absent_0,active_pic-present_1,inactive_pic-present_2,inactive_pic-absent_3,active_pic-present_2,inactive_pic-absent_3,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_0,inactive_pic-present_1,active_pic-absent_2,active_pic-absent_3,inactive_pic-absent_2,active_pic-present_3,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-present_1,active_pic-present_2,inactive_pic-absent_3,active_pic-present_2,inactive_pic-absent_3,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,inactive_pic-absent_2,active_pic-present_3
sub-057,active_pic-present_2,inactive_pic-present_3,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_0,active_pic-present_1,active_pic-absent_2,inactive_pic-present_3,active_pic-absent_2,inactive_pic-absent_3,active_pic-present_0,inactive_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_2,active_pic-absent_3,active_pic-present_2,inactive_pic-present_3,active_pic-absent_0,active_pic-present_1,inactive_pic-present_0,active_pic-absent_1,inactive_pic-absent_2,inactive_pic-present_3,active_pic-absent_2,inactive_pic-absent_3,active_pic-present_0,active_pic-absent_1,inactive_pic-absent_0,active_pic-present_1,inactive_pic-present_2,inactive_pic-absent_3
sub-058,active_pic-absent_2,inactive_pic-present_3,active_pic-absent_0,inactive_pic-present_1,active_pic-present_0,inactive_pic-absent_1,inactive_pic-present_2,active_pic-present_3,inactive_pic-absent_2,active_pic-present_3,active_pic-present_0,inactive_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,inactive_pic-absent_2,active_pic-absent_3,active_pic-absent_2,active_pic-present_3,inactive_pic-absent_0,inactive_pic-absent_1,active_pic-present_0,active_pic-absent_1,inactive_pic-present_2,active_pic-present_3,inactive_pic-absent_2,inactive_pic-present_3,active_pic-absent_0,active_pic-absent_1,inactive_pic-present_0,inactive_pic-absent_1,active_pic-present_2,inactive_pic-present_3
sub-059,active_pic-present_2,inactive_pic-absent_3,inactive_pic-present_0,active_pic-present_1,inactive_pic-absent_0,inactive_pic-present_1,active_pic-present_2,active_pic-absent_3,inactive_pic-present_2,active_pic-absent_3,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,active_pic-present_1,inactive_pic-absent_2,inactive_pic-absent_3,active_pic-absent_2,inactive_pic-present_3,inactive_pic-absent_0,active_pic-absent_1,inactive_pic-present_0,inactive_pic-absent_1,active_pic-present_2,active_pic-present_3,inactive_pic-absent_2,active_pic-present_3,active_pic-absent_0,inactive_pic-absent_1,active_pic-present_0,active_pic-absent_1,inactive_pic-present_2,inactive_pic-present_3
sub-060,inactive_pic-absent_2,active_pic-present_3,inactive_pic-absent_0,inactive_pic-absent_1,active_pic-present_0,inactive_pic-present_1,active_pic-absent_2,inactive_pic-present_3,active_pic-absent_2,active_pic-absent_3,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_0,inactive_pic-absent_1,active_pic-present_2,active_pic-present_3,inactive_pic-present_2,active_pic-absent_3,inactive_pic-absent_0,inactive_pic-present_1,active_pic-present_0,inactive_pic-absent_1,active_pic-present_2,inactive_pic-absent_3,active_pic-absent_2,inactive_pic-present_3,inactive_pic-present_0,active_pic-absent_1,inactive_pic-absent_0,active_pic-present_1,active_pic-absent_2,active_pic-present_3
sub-061,active_pic-absent_2,inactive_pic-absent_3,active_pic-present_0,inactive_pic-absent_1,active_pic-present_0,active_pic-absent_1,inactive_pic-absent_2,active_pic-present_3,inactive_pic-absent_2,active_pic-present_3,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_0,inactive_pic-present_1,active_pic-absent_2,inactive_pic-present_3,active_pic-absent_2,active_pic-absent_3,inactive_pic-present_0,active_pic-present_1,inactive_pic-absent_0,inactive_pic-present_1,active_pic-absent_2,inactive_pic-absent_3,inactive_pic-present_2,active_pic-present_3,inactive_pic-absent_0,inactive_pic-present_1,active_pic-present_0,inactive_pic-absent_1,active_pic-present_2,active_pic-absent_3
sub-062,inactive_pic-present_2,active_pic-present_3,inactive_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,active_pic-absent_1,inactive_pic-present_2,inactive_pic-absent_3,active_pic-present_2,inactive_pic-absent_3,active_pic-present_0,active_pic-present_1,inactive_pic-absent_0,inactive_pic-present_1,active_pic-absent_2,active_pic-absent_3,inactive_pic-present_2,active_pic-absent_3,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-absent_1,active_pic-present_2,active_pic-absent_3,inactive_pic-absent_2,active_pic-present_3,inactive_pic-present_0,inactive_pic-absent_1,active_pic-present_0,inactive_pic-present_1,inactive_pic-absent_2,active_pic-present_3
sub-063,inactive_pic-present_2,inactive_pic-present_3,active_pic-absent_0,active_pic-present_1,inactive_pic-absent_0,active_pic-absent_1,inactive_pic-present_2,inactive_pic-absent_3,active_pic-absent_2,active_pic-present_3,inactive_pic-absent_0,inactive_pic-present_1,active_pic-present_0,inactive_pic-absent_1,active_pic-present_2,active_pic-absent_3,inactive_pic-present_2,active_pic-present_3,inactive_pic-absent_0,active_pic-absent_1,active_pic-present_0,inactive_pic-absent_1,active_pic-present_2,active_pic-present_3,inactive_pic-absent_2,active_pic-absent_3,inactive_pic-present_0,inactive_pic-absent_1,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_2,inactive_pic-present_3
sub-064,inactive_pic-absent_2,inactive_pic-present_3,active_pic-absent_0,inactive_pic-present_1,active_pic-present_0,active_pic-absent_1,inactive_pic-present_2,active_pic-present_3,active_pic-absent_2,inactive_pic-absent_3,active_pic-present_0,active_pic-absent_1,inactive_pic-present_0,active_pic-present_1,inactive_pic-absent_2,inactive_pic-absent_3,inactive_pic-present_2,inactive_pic-present_3,active_pic-absent_0,inactive_pic-absent_1,active_pic-present_0,active_pic-absent_1,inactive_pic-absent_2,active_pic-present_3,active_pic-absent_2,inactive_pic-absent_3,active_pic-present_0,active_pic-absent_1,inactive_pic-absent_0,active_pic-present_1,inactive_pic-present_2,inactive_pic-present_3
sub-065,active_pic-present_2,active_pic-present_3,inactive_pic-absent_0,active_pic-absent_1,inactive_pic-present_0,inactive_pic-present_1,active_pic-absent_2,active_pic-present_3,inactive_pic-absent_2,active_pic-absent_3,inactive_pic-present_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-absent_1,active_pic-present_2,inactive_pic-absent_3,active_pic-absent_2,inactive_pic-absent_3,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,active_pic-present_2,inactive_pic-absent_3,active_pic-present_2,inactive_pic-present_3,active_pic-absent_0,active_pic-present_1,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_2,inactive_pic-present_3
sub-066,active_pic-absent_2,inactive_pic-present_3,active_pic-present_0,inactive_pic-absent_1,active_pic-present_0,inactive_pic-absent_1,inactive_pic-present_2,active_pic-absent_3,inactive_pic-present_2,active_pic-absent_3,active_pic-absent_0,inactive_pic-present_1,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_2,active_pic-present_3,active_pic-present_2,inactive_pic-absent_3,active_pic-absent_0,active_pic-present_1,inactive_pic-absent_0,active_pic-absent_1,active_pic-present_2,inactive_pic-absent_3,inactive_pic-present_2,active_pic-present_3,inactive_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-present_1,inactive_pic-present_2,active_pic-absent_3
sub-067,inactive_pic-present_2,inactive_pic-present_3,active_pic-absent_0,active_pic-present_1,inactive_pic-absent_0,active_pic-absent_1,active_pic-present_2,inactive_pic-present_3,active_pic-absent_2,active_pic-present_3,inactive_pic-absent_0,active_pic-absent_1,active_pic-present_0,inactive_pic-absent_1,inactive_pic-present_2,inactive_pic-absent_3,inactive_pic-absent_2,active_pic-absent_3,active_pic-present_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-present_1,inactive_pic-present_2,active_pic-absent_3,inactive_pic-present_2,active_pic-present_3,active_pic-absent_0,inactive_pic-absent_1,active_pic-present_0,inactive_pic-absent_1,inactive_pic-absent_2,active_pic-present_3
sub-068,active_pic-absent_2,active_pic-present_3,inactive_pic-absent_0,active_pic-present_1,active_pic-present_0,inactive_pic-absent_1,inactive_pic-present_2,active_pic-absent_3,inactive_pic-present_2,inactive_pic-present_3,active_pic-absent_0,inactive_pic-present_1,inactive_pic-absent_0,active_pic-absent_1,active_pic-present_2,inactive_pic-absent_3,inactive_pic-present_2,active_pic-absent_3,inactive_pic-absent_0,active_pic-present_1,active_pic-absent_0,inactive_pic-absent_1,active_pic-present_2,active_pic-absent_3,inactive_pic-absent_2,active_pic-present_3,inactive_pic-present_0,inactive_pic-absent_1,active_pic-present_0,inactive_pic-present_1,active_pic-absent_2,inactive_pic-present_3
sub-069,inactive_pic-present_2,active_pic-absent_3,active_pic-present_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-present_1,inactive_pic-present_2,active_pic-absent_3,inactive_pic-absent_2,active_pic-present_3,inactive_pic-absent_0,inactive_pic-absent_1,active_pic-present_0,inactive_pic-absent_1,active_pic-absent_2,active_pic-present_3,inactive_pic-absent_2,active_pic-present_3,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_0,inactive_pic-absent_1,active_pic-present_2,inactive_pic-present_3,active_pic-absent_2,inactive_pic-present_3,active_pic-absent_0,inactive_pic-absent_1,active_pic-present_0,active_pic-absent_1,inactive_pic-absent_2,active_pic-present_3
sub-070,active_pic-absent_2,inactive_pic-present_3,inactive_pic-present_0,active_pic-absent_1,inactive_pic-absent_0,active_pic-present_1,active_pic-absent_2,inactive_pic-absent_3,inactive_pic-present_2,active_pic-absent_3,inactive_pic-absent_0,active_pic-present_1,active_pic-present_0,inactive_pic-absent_1,active_pic-present_2,inactive_pic-present_3,inactive_pic-present_2,active_pic-present_3,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_0,active_pic-absent_1,active_pic-present_2,inactive_pic-present_3,active_pic-absent_2,inactive_pic-present_3,inactive_pic-present_0,active_pic-absent_1,active_pic-present_0,inactive_pic-absent_1,active_pic-absent_2,inactive_pic-absent_3
sub-071,active_pic-absent_2,active_pic-absent_3,inactive_pic-present_0,active_pic-present_1,inactive_pic-absent_0,active_pic-present_1,active_pic-present_2,inactive_pic-absent_3,active_pic-present_2,inactive_pic-present_3,inactive_pic-absent_0,active_pic-absent_1,inactive_pic-present_0,inactive_pic-absent_1,active_pic-absent_2,inactive_pic-present_3,inactive_pic-absent_2,active_pic-present_3,inactive_pic-absent_0,active_pic-present_1,active_pic-absent_0,inactive_pic-present_1,active_pic-present_2,active_pic-absent_3,inactive_pic-present_2,inactive_pic-absent_3,active_pic-absent_0,inactive_pic-present_1,active_pic-present_0,active_pic-absent_1,inactive_pic-present_2,inactive_pic-absent_3
sub-072,active_pic-absent_2,inactive_pic-present_3,active_pic-present_0,inactive_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,inactive_pic-absent_2,inactive_pic-present_3,active_pic-present_2,inactive_pic-absent_3,inactive_pic-present_0,active_pic-present_1,inactive_pic-absent_0,active_pic-present_1,active_pic-absent_2,active_pic-absent_3,inactive_pic-present_2,active_pic-absent_3,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_0,active_pic-present_1,inactive_pic-present_2,inactive_pic-absent_3,active_pic-present_2,inactive_pic-absent_3,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-present_1,active_pic-present_2,active_pic-absent_3
sub-073,inactive_pic-present_2,inactive_pic-absent_3,active_pic-absent_0,active_pic-present_1,inactive_pic-absent_0,inactive_pic-present_1,active_pic-present_2,inactive_pic-absent_3,active_pic-present_2,active_pic-present_3,inactive_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,active_pic-absent_1,inactive_pic-present_2,active_pic-absent_3,active_pic-present_2,inactive_pic-absent_3,active_pic-present_0,inactive_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_2,active_pic-present_3,inactive_pic-absent_2,active_pic-present_3,inactive_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_2,active_pic-absent_3
sub-074,inactive_pic-absent_2,active_pic-absent_3,inactive_pic-present_0,inactive_pic-absent_1,active_pic-present_0,inactive_pic-present_1,active_pic-absent_2,active_pic-present_3,inactive_pic-present_2,inactive_pic-absent_3,active_pic-present_0,inactive_pic-present_1,active_pic-absent_0,active_pic-present_1,inactive_pic-absent_2,active_pic-absent_3,inactive_pic-absent_2,active_pic-absent_3,inactive_pic-present_0,inactive_pic-present_1,active_pic-absent_0,active_pic-present_1,inactive_pic-absent_2,inactive_pic-absent_3,active_pic-present_2,inactive_pic-present_3,active_pic-absent_0,active_pic-absent_1,inactive_pic-present_0,inactive_pic-absent_1,active_pic-present_2,active_pic-present_3
sub-075,active_pic-absent_2,inactive_pic-present_3,active_pic-present_0,active_pic-absent_1,inactive_pic-absent_0,active_pic-present_1,active_pic-absent_2,inactive_pic-absent_3,active_pic-present_2,inactive_pic-absent_3,inactive_pic-absent_0,active_pic-present_1,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_2,inactive_pic-present_3,inactive_pic-absent_2,active_pic-present_3,inactive_pic-absent_0,active_pic-absent_1,inactive_pic-present_0,inactive_pic-present_1,active_pic-absent_2,inactive_pic-present_3,active_pic-present_2,active_pic-absent_3,inactive_pic-present_0,active_pic-present_1,active_pic-absent_0,inactive_pic-absent_1,active_pic-present_2,inactive_pic-absent_3
sub-076,inactive_pic-present_2,active_pic-present_3,inactive_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,active_pic-absent_1,inactive_pic-present_2,inactive_pic-absent_3,active_pic-present_2,inactive_pic-absent_3,active_pic-absent_0,active_pic-present_1,inactive_pic-absent_0,inactive_pic-present_1,active_pic-present_2,active_pic-absent_3,active_pic-present_2,inactive_pic-absent_3,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,active_pic-absent_1,inactive_pic-present_2,active_pic-absent_3,inactive_pic-absent_2,inactive_pic-present_3,active_pic-present_0,inactive_pic-absent_1,inactive_pic-present_0,active_pic-present_1,inactive_pic-absent_2,active_pic-present_3
sub-077,inactive_pic-absent_2,active_pic-present_3,inactive_pic-absent_0,active_pic-absent_1,active_pic-present_0,inactive_pic-present_1,active_pic-absent_2,inactive_pic-absent_3,inactive_pic-present_2,active_pic-absent_3,inactive_pic-present_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-absent_1,active_pic-present_2,active_pic-present_3,active_pic-absent_2,active_pic-absent_3,inactive_pic-present_0,active_pic-present_1,inactive_pic-absent_0,inactive_pic-present_1,active_pic-present_2,inactive_pic-absent_3,inactive_pic-present_2,active_pic-present_3,inactive_pic-absent_0,inactive_pic-present_1,active_pic-present_0,inactive_pic-absent_1,active_pic-absent_2,active_pic-absent_3
sub-078,inactive_pic-absent_2,inactive_pic-present_3,active_pic-present_0,inactive_pic-absent_1,active_pic-present_0,active_pic-absent_1,inactive_pic-absent_2,active_pic-present_3,inactive_pic-present_2,inactive_pic-absent_3,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,active_pic-present_1,inactive_pic-present_2,active_pic-absent_3,inactive_pic-absent_2,active_pic-present_3,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-present_1,inactive_pic-present_2,active_pic-absent_3,active_pic-present_2,inactive_pic-absent_3,inactive_pic-absent_0,active_pic-present_1,inactive_pic-present_0,active_pic-absent_1,active_pic-present_2,inactive_pic-absent_3
sub-079,inactive_pic-absent_2,inactive_pic-present_3,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,active_pic-present_1,inactive_pic-present_2,inactive_pic-absent_3,active_pic-present_2,active_pic-absent_3,inactive_pic-absent_0,active_pic-present_1,inactive_pic-present_0,inactive_pic-absent_1,active_pic-present_2,active_pic-absent_3,inactive_pic-present_2,active_pic-absent_3,inactive_pic-absent_0,active_pic-present_1,active_pic-absent_0,inactive_pic-absent_1,active_pic-present_2,inactive_pic-present_3,inactive_pic-absent_2,active_pic-present_3,inactive_pic-present_0,active_pic-absent_1,active_pic-present_0,inactive_pic-present_1,active_pic-absent_2,inactive_pic-absent_3
sub-080,inactive_pic-present_2,active_pic-absent_3,inactive_pic-present_0,active_pic-absent_1,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_2,inactive_pic-present_3,active_pic-absent_2,inactive_pic-present_3,active_pic-present_0,inactive_pic-absent_1,active_pic-present_0,inactive_pic-absent_1,active_pic-absent_2,active_pic-present_3,active_pic-absent_2,inactive_pic-present_3,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_0,inactive_pic-absent_1,active_pic-absent_2,inactive_pic-present_3,inactive_pic-absent_2,active_pic-present_3,active_pic-present_0,inactive_pic-absent_1,active_pic-present_0,active_pic-absent_1,inactive_pic-absent_2,active_pic-present_3
